ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,HAIER,6,False,Autosensing,China,,,Each individual model number listed above,HDY-D60,AS/NZS 2442.1:1996,284,1.69577830083,1.5,Extra Dry,184.0,"Australia,New Zealand",Approved,56753,4.747,,Vented,,2016-04-25,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BMC,5,False,Autosensing,China,,,Each individual model number listed above,BDR501,AS/NZS 2442.1:1996,211,2.4021240062,2.0,Extra Dry + Full,170.0,"Australia,New Zealand",Approved,58152,3.96,,Vented,,2016-06-06,,Single product class,Unavailable,,http://NA
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ONIX,4,False,Timer,China,,,Each individual model number listed above,GYJ40-88,AS/NZS 2442.1:1996,180,2.00683301501,2.0,Strong Heat ,200.0,"Australia,New Zealand",Approved,52603,3.116,,Vented,,2015-11-01,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,HOOVER,5,True,Autosensing,Italy,600.0,850.0,Each individual model number listed above,WDYN 9646P,AS/NZS 2442.1:1996,178,3.44861492088,3.0,"Cottons, Extra dry",211.0,"Australia,New Zealand",Approved,51613,4.822,47.0,Condenser,600.0,2015-07-19,,Single product class,Available,http://www.candy-group.com/,http://www.andico.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,6,True,Autosensing,China,,,,WD856UHSAWQ,AS/NZS 2442.1:1996/Amdt 4:2006,290,1.56713676422,1.5,"Drying, Intensive Wash, 1200rpm",360.0,"Australia,Fiji,New Zealand",Approved,72352,4.703,95.0,Condenser,,2018-05-27,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,7,False,Autosensing,"""Korea, Republic of""",660.0,860.0,,DV70H4400CW,AS/NZS 2442.1:1996/Amdt 4:2006,339,1.5550243009,1.5,"Cotton Extra Dry, Drying Level High",134.0,"Australia,Fiji,New Zealand",Approved,80082,5.77,0.0,Condenser,600.0,2019-05-06,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Hafele,3.5,True,Autosensing,China,640.0,845.0,,533.98.001,AS/NZS 2442.1:1996/Amdt 4:2006,134,3.00109047667,3.0,Spin 1200rpm + Cottons Drying 198 min,235.2,"Australia,Fiji,New Zealand",Approved,79496,2.721,210.0,Condenser,595.0,2019-04-01,,Single product class,Available,,http://www.hafele.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,euro,3.5,True,Timer,China,,,,EFD735CW,AS/NZS 2442.1:1996/Amdt 4:2006,148,2.38963878842,2.0,Cottons FDrying 198 min,198.0,"Australia,Fiji,New Zealand",Approved,61855,3.433,59.5,Condenser,,2016-10-31,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIGNATURE,6,False,Autosensing,China,,,Each individual model number listed above,SIG-60Q1E,AS/NZS 2442.1:1996,266,2.09867247188,2.0,Tumble dryer,300.0,"Australia,Fiji,New Zealand",Approved,48726,4.69,,Vented,,2015-02-09,,Single product class,Unavailable,,http://www.blueway.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,5,False,Autosensing,Thailand,,,Each individual model number listed above,EDV505,AS/NZS 2442.1:1996,222,2.08942659579,2.0,Normal Dry,132.0,"Australia,Fiji,New Zealand",Approved,46357,4.042,,Vented,,2014-12-14,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Hafele,3.5,True,Autosensing,China,640.0,845.0,,533.98.000,AS/NZS 2442.1:1996/Amdt 4:2006,134,3.00109047667,3.0,Single Spin 1200rpm + Cottons Drying 198 min,235.2,"Australia,Fiji,New Zealand",Approved,78171,2.721,210.0,Condenser,595.0,2019-01-10,,Single product class,Available,,http://www.hafele.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,7,True,Autosensing,"""Korea, Republic of""",,,,WD10F7S7SRP,AS/NZS 2442.1:1996/Amdt 4:2006,305,2.20533827417,2.0,"Drying, 1000rpm, Cupboard",362.0,"Australia,Fiji,New Zealand",Approved,72027,5.589,95.2,Condenser,,2018-05-22,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Euroclean,6,False,Autosensing,China,545.0,840.0,,EC-600-5,AS/NZS 2442.1:1996/Amdt 4:2006,263,2.16846296729,2.0,Cott+/Full Heat,200.0,Australia,Approved,70793,4.8166,,Vented,595.0,2018-03-25,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Smeg,7,False,Autosensing,Turkey,,,,SAHP7,AS/NZS 2442.1:1996/Amdt 4:2006,163,6.06065271499,6.0,Cottons-Extra Dry,225.0,"Australia,New Zealand",Approved,70225,5.59,0.0,Condenser,,2018-01-25,,Single product class,Available,,http://www.smeg.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Smeg,5.5,True,Timer,Italy,550.0,850.0,,SAWD814,AS/NZS 2442.1:1996/Amdt 4:2006,147,5.21247802411,5.0,"Dry program, 220 min, 1400rpm",165.7,"Australia,New Zealand",Approved,69191,3.108,67.8,Condenser,595.0,2017-11-12,,Single product class,Available,http://www.jp-industries.com/,http://www.smeg.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MEC,6,False,Autosensing,China,530.0,840.0,,MECCD06,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,"Full Heat, Extra Dry",230.0,Australia,Approved,69038,4.702,,Vented,595.0,2017-11-29,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Euromaid,4,False,Timer,China,435.0,700.0,,DM4KG,AS/NZS 2442.1:1996/Amdt 4:2006,180,2.00683301501,2.0,"200 minutes, strong heat",132.0,"Australia,Fiji,New Zealand",Approved,68888,3.116,,Vented,600.0,2017-11-01,,Single product class,Unavailable,http://www.thinkglobal.net.cn/,http://www.thinkglobal.net.cn/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,EURO,6,False,Autosensing,China,545.0,840.0,,E6KDEW,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra dry,207.0,"Australia,Fiji,New Zealand",Approved,72582,4.84,,Vented,595.0,2018-06-06,,Single product class,Unavailable,http://cell-sun.com/,http://www.euroappliances.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,GVA,4,False,Timer,China,,,Each individual model number listed above,GVA4KG,AS/NZS 2442.1:1996,180,2.00683301501,2.0,Strong Heat ,200.0,"Australia,New Zealand",Approved,57133,3.116,,Vented,,2016-05-10,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,4,True,Autosensing,"""Korea, Republic of""",850.0,550.0,,WD1402CRD6,AS/NZS 2442.1:1996/Amdt 4:2006,190,1.67415040728,1.5,"Cupboard Dry, 1400rpm",264.0,"Australia,New Zealand",Approved,70529,3.158,25.0,Condenser,600.0,2018-02-12,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Smeg,3,True,Timer,Italy,550.0,850.0,,SAWD612,AS/NZS 2442.1:1996/Amdt 4:2006,134,2.05258139958,2.0,"Dry Program, 220 min, 1200 RPM",185.5,"Australia,New Zealand",Approved,69132,2.335,50.8,Condenser,595.0,2017-11-06,,Single product class,Available,http://www.jp-industries.com/,http://www.smeg.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,TELMANN,4,False,Timer,China,,,,GYJ40-88 ,AS/NZS 2442.1:1996/Amdt 4:2006,180,2.00683301501,2.0,Strong Dry program,200.0,"Australia,New Zealand",Approved,66717,3.166,,Vented,,2017-09-12,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,STIRLING,4,False,Timer,China,,,,GYJ40-88 ,AS/NZS 2442.1:1996/Amdt 4:2006,180,2.00683301501,2.0,Strong Dry program,200.0,"Australia,New Zealand",Approved,65964,3.166,,Vented,,2017-07-10,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,8,False,Autosensing,"""Korea, Republic of""",,,single,TD-C800E,AS/NZS 2442.1:1996,356,2.07558377919,2.0,Cotton Extra Dry,235.0,"Australia,New Zealand",Approved,46740,6.297,,Condenser,,2014-10-25,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,8,False,Autosensing,"""Korea, Republic of""",,,single,TD-C809E,AS/NZS 2442.1:1996,356,2.07558377919,2.0,Cotton Extra Dry,235.0,"Australia,New Zealand",Approved,46740,6.297,,Condenser,,2014-10-25,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,6,False,Autosensing,Poland,,,single,WTW84360AU,AS/NZS 2442.1:1996,117,7.1523753022,6.0,Cottons Cupboard Dry Extra,200.0,"Australia,Fiji,New Zealand",Approved,56174,5.194,,Condenser,,2016-03-15,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIEMENS,6.5,False,Autosensing,Poland,,,single,WT46W560AU,AS/NZS 2442.1:1996,128,7.09199081974,6.0,Cottons Cupboard Dry,160.0,"Australia,New Zealand",Approved,55669,5.16,,Condenser,,2016-02-09,,Single product class,Unavailable,,http://www.siemens-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIEMENS,8,False,Autosensing,Poland,,,single,WT46S592AU,AS/NZS 2442.1:1996,358,2.04111237598,2.0,"Cottons, Cupboard Dry Extra, heat setting 0",206.0,"Australia,New Zealand",Approved,54434,6.384,,Condenser,,2015-10-28,,Single product class,Unavailable,,http://www.siemens-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,6.5,False,Autosensing,Poland,,,single,WTW84360AU,AS/NZS 2442.1:1996,117,7.64488843849,6.0,Cottons Cupboard Dry Extra,200.0,"Australia,Fiji,New Zealand",Approved,52098,5.194,,Condenser,,2015-08-10,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,7,False,Autosensing,Poland,,,Each individual model number listed above,WTE84101AU,AS/NZS 2442.1:1996,314,2.02639783079,2.0,Cottons Very Dry,181.0,"Australia,New Zealand",Approved,50082,5.534,,Condenser,,2015-05-17,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,8,False,Autosensing,Poland,,,Each individual model number listed above,WTE86302AU,AS/NZS 2442.1:1996,355,2.09289217143,2.0,Cottons Very Dry,1.0,"Australia,New Zealand",Approved,49562,6.348,,Condenser,,2015-04-05,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Haier,6,False,Autosensing,China,560.0,830.0,,HDY-E60,AS/NZS 2442.1:1996/Amdt 4:2006,285,1.67415040728,1.5,Extra Dry,0.0,"Australia,New Zealand",Approved,79177,4.834,,Vented,600.0,2019-02-25,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,AEG,9,False,Autosensing,Poland,,,,T96690IH,AS/NZS 2442.1:1996/Amdt 4:2006,198,6.41013568641,6.0,"Cottons Extra Dry, Max Dryness",329.0,"Australia,New Zealand",Approved,63406,7.168,0.0,Condenser,,2017-01-29,,Single product class,Available,,http://www.aeg.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,V-ZUG,6,False,Autosensing,,600.0,850.0,single,296,AS/NZS 2442.1:1996,149,5.66471862187,5.5,"Normal dry, Dryness setting 4",132.0,"Australia,New Zealand",Approved,43662,4.752,,Condenser,595.0,2014-08-03,,Single product class,Unavailable,,http://www.vzug.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,6,False,Autosensing,Poland,,,,WTC84101AU,AS/NZS 2442.1:1996/Amdt 4:2006,270,2.00683301501,2.0,Regular / Cotton Very Dry,140.0,"Australia,New Zealand",Approved,72461,4.762,0.0,Condenser,,2018-06-11,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,7.5,True,Autosensing,"""Korea, Republic of""",767.0,982.0,,WD12595FD6,AS/NZS 2442.1:1996/Amdt 4:2006,311,2.50999039111,2.5,Cotton ECo Extra High Spin,307.0,"Australia,New Zealand",Approved,71851,5.982,42.0,Condenser,686.0,2018-04-22,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Haier,4,False,Timer,China,,,,HDY-M40,AS/NZS 2442.1:1996/Amdt 4:2006,230,0.498562816633,1.0,200 min,200.0,"Australia,Fiji,New Zealand",Approved,74329,3.11,,Vented,,2018-08-29,,Single product class,Unavailable,http://www.haier.cn/,http://www.haier.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,6,False,Autosensing,Poland,,,,WTC84100AU,AS/NZS 2442.1:1996/Amdt 4:2006,270,2.00683301501,2.0,Regular / Cotton Very Dry,140.0,"Australia,New Zealand",Approved,63419,4.762,0.0,Condenser,,2017-01-29,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,8,False,Autosensing,Poland,,,,WTE86303AU,AS/NZS 2442.1:1996/Amdt 4:2006,355,2.09289217143,2.0,Cottons Very Dry,203.0,"Australia,New Zealand",Approved,61657,6.348,0.0,Condenser,,2016-11-05,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,5,True,Autosensing,Thailand,,,,EWW12832,AS/NZS 2442.1:1996/Amdt 4:2006,174,3.58846479036,3.5,"Drying Cottons, Dryness Extra",194.0,"Australia,Fiji,New Zealand",Approved,73480,4.038,27.6,Condenser,,2018-08-06,,Single product class,Available,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ARISTON,5.5,True,Autosensing,Italy,630.0,840.0,Each individual model number listed above,WDG 8629B AUS,AS/NZS 2442.1:1996/Amdt 4:2006,210,3.01781094723,3.0,program no 12 Cotton,296.0,"Australia,Fiji,New Zealand",Approved,72655,4.28967,25.17,Condenser,600.0,2018-06-24,,Single product class,Unavailable,,http://www.indesit.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ARISTON,5.5,True,Autosensing,Italy,630.0,840.0,Each individual model number listed above,WDL 8629B AUS,AS/NZS 2442.1:1996/Amdt 4:2006,210,3.01781094723,3.0,program no 12 Cotton,296.0,"Australia,Fiji,New Zealand",Approved,72655,4.28967,25.17,Condenser,600.0,2018-06-24,,Single product class,Unavailable,,http://www.indesit.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,EUROMAID,6,False,Autosensing,Turkey,530.0,846.0,,CD6KG,AS/NZS 2442.1:1996/Amdt 4:2006,280,1.78305819515,1.5,cotton-Extra Dry,163.0,"Australia,New Zealand",Approved,71569,4.777,0.0,Condenser,595.0,2018-04-13,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,8,False,Autosensing,"""Korea, Republic of""",,,,TD-C8035E,AS/NZS 2442.1:1996/Amdt 4:2006,356,2.07558377919,2.0,Cotton Extra,235.0,"Australia,New Zealand",Approved,71363,6.297,0.0,Condenser,,2018-04-08,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MISTRAL,6,False,Timer,China,600.0,700.0,,MTD6,AS/NZS 2442.1:1996/Amdt 4:2006,266,2.09867247188,2.0,"strong heat program,  used once per week",200.0,"Australia,New Zealand",Approved,71360,4.701,,Vented,600.0,2018-05-07,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Ariston,8,False,Autosensing,United Kingdom,,,,TCF 87B 6H1,AS/NZS 2442.1:1996/Amdt 4:2006,355,2.09289217143,2.0,"Program 1 Cotton, Extra Dry, High Heat",196.0,"Australia,Fiji,New Zealand",Approved,71101,6.4494,0.0,Condenser,,2018-05-23,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Ariston,7,False,Autosensing,United Kingdom,,,The family name designated above,TVF 75C 6H1; TVL 75C 6P1,AS/NZS 2442.1:1996/Amdt 4:2006,295,2.41046158116,2.0,"Program 1 Cotton, Extra Dry, High Heat",158.0,"Australia,Fiji,New Zealand",Approved,70760,5.464,,Vented,,2018-05-23,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Smeg,8,False,Autosensing,Turkey,,,,SACD8,AS/NZS 2442.1:1996/Amdt 4:2006,350,2.18017206575,2.0,Cottons-Extra Dry,207.0,"Australia,New Zealand",Approved,70265,6.411,0.0,Condenser,,2018-02-06,,Single product class,Available,http://www.arcelik.com.tr/,http://www.smeg.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,4,True,Autosensing,"""Korea, Republic of""",850.0,550.0,,WD14022RD6,AS/NZS 2442.1:1996/Amdt 4:2006,190,1.67415040728,1.5,"Cupboard Dry, 1400rpm",264.0,"Australia,New Zealand",Approved,69858,3.158,25.0,Condenser,600.0,2017-12-17,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,HOOVER,7,False,Autosensing,Turkey,600.0,850.0,,DYC 9713AX,AS/NZS 2442.1:1996/Amdt 4:2006,159,6.21353335889,6.0,Bone Dry,245.0,"Australia,New Zealand",Approved,64658,5.561,0.0,Condenser,600.0,2017-05-28,,Single product class,Available,http://www.candy-group.com/,http://www.andico.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,8,False,Autosensing,"""Korea, Republic of""",660.0,860.0,,DV80H4100CW,AS/NZS 2442.1:1996/Amdt 4:2006,379,1.69036419632,1.5,"Cotton Extra Dry, Drying Level High",134.0,"Australia,Fiji,New Zealand",Approved,80706,6.603,0.0,Condenser,600.0,2019-05-06,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,"Germany,Czech Republic",,,,T 8929 WP,AS/NZS 2442.1:1996/Amdt 4:2006,127,7.59624684621,6.0,Cottons Normal Plus,167.0,"Australia,New Zealand",Approved,62870,5.525,0.0,Condenser,,2017-02-06,,Single product class,Unavailable,http://www.miele.com.au/,http://www.miele.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MXT,5,False,Autosensing,China,,,single,MCD5E,AS/NZS 2442.1:1996,225,2.00683301501,2.0,Full Heat; Extra Dry,150.0,"Australia,New Zealand",Approved,57515,3.973,,Vented,,2016-05-07,,Single product class,Unavailable,,http://goldtech2000@163.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BEKO,6,False,Autosensing,Turkey,,,Each individual model number listed above,DV 6120 X,AS/NZS 2442.1:1996,266,2.09867247188,2.0,Cottons-Ready to Wear,150.0,"Australia,New Zealand",Approved,60677,4.833,,Vented,,2016-09-05,,Single product class,Unavailable,http://www.beko.com/,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,6.5,False,Autosensing,"Germany,Czech Republic",,,,PT 7135 C,AS/NZS 2442.1:1996/Amdt 4:2006,316,1.53133427062,1.5,Cottons Normal +,174.0,"Australia,New Zealand",Approved,73477,5.185,0.0,Condenser,,2018-08-13,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,8,False,Autosensing,Poland,,,,WTB86200AU,AS/NZS 2442.1:1996/Amdt 4:2006,360,2.00683301501,2.0,Cottons Cupboard Dry Extra,200.0,"Australia,Fiji,New Zealand",Approved,80268,6.3,0.0,Condenser,,2019-04-15,,Single product class,Available,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BOSCH,6.5,False,Autosensing,Poland,,,,WTW86200AU,AS/NZS 2442.1:1996/Amdt 4:2006,120,7.48910469033,6.0,Cottons Cupboard Dry Plus,178.5,"Australia,New Zealand",Approved,76386,5.182,0.0,Condenser,,2018-10-21,,Single product class,Available,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,7,False,Autosensing,Poland,,,Each individual model number listed above,EDI97170W,AS/NZS 2442.1:1996,296,2.38963878842,2.0,Cotton Extra; Min Dryness,174.0,"Australia,New Zealand",Approved,55402,5.516,,Condenser,,2015-12-19,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,3.5,True,Autosensing,Thailand,,,Each individual model number listed above,EWW1273,AS/NZS 2442.1:1996,142,2.64428737792,2.5,"Cottons, Auto Dry, Extra Dry ",131.0,"Australia,Fiji,New Zealand",Approved,47341,2.743,29.8,Condenser,,2014-11-26,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,6,False,Autosensing,Thailand,,,Each individual model number listed above,EDV605,AS/NZS 2442.1:1996,267,2.07558377919,2.0,Normal Dry,151.0,"Australia,Fiji,New Zealand",Approved,46899,4.84,,Vented,,2014-12-15,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,6,False,Autosensing,Thailand,,,Each individual model number listed above,EDV605S,AS/NZS 2442.1:1996,267,2.07558377919,2.0,Normal Dry,151.0,"Australia,Fiji,New Zealand",Approved,46899,4.84,,Vented,,2014-12-15,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ELECTROLUX,6,False,Autosensing,Thailand,,,Each individual model number listed above,EDV605G,AS/NZS 2442.1:1996,267,2.07558377919,2.0,Normal Dry,151.0,"Australia,Fiji,New Zealand",Approved,46899,4.84,,Vented,,2014-12-15,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,9,False,Autosensing,"""Korea, Republic of""",660.0,860.0,,DV90H8000HW,AS/NZS 2442.1:1996/Amdt 4:2006,192,6.59947768345,6.0,"Cotton Extra Dry, Dry Level 3",210.0,"Australia,Fiji,New Zealand",Approved,79417,7.264,0.0,Condenser,600.0,2019-04-09,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,9,False,Autosensing,United States,,,Each individual model number listed above,LDE3TRWS431AW01,AS/NZS 2442.1:1996/Amdt 4:2006,430,1.6382720002,1.5,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",118.0,"Australia,New Zealand",Approved,74281,7.3,,Vented,,2018-09-10,,Single product class,Unavailable,http://www.comlaundry.com/,http://www.speedqueen.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,9,False,Autosensing,United States,,,Each individual model number listed above,LTE50FSP431AW12,AS/NZS 2442.1:1996/Amdt 4:2006,430,1.6382720002,1.5,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",118.0,"Australia,New Zealand",Approved,74281,7.3,,Vented,,2018-09-10,,Single product class,Unavailable,http://www.comlaundry.com/,http://www.speedqueen.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,9,False,Autosensing,United States,,,Each individual model number listed above,LTE50FSP431AW01,AS/NZS 2442.1:1996/Amdt 4:2006,430,1.6382720002,1.5,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",118.0,"Australia,New Zealand",Approved,74281,7.3,,Vented,,2018-09-10,,Single product class,Unavailable,http://www.comlaundry.com/,http://www.speedqueen.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,9,False,Autosensing,United States,,,Each individual model number listed above,LDE3TFGS431AW01,AS/NZS 2442.1:1996/Amdt 4:2006,430,1.6382720002,1.5,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",118.0,"Australia,New Zealand",Approved,74281,7.3,,Vented,,2018-09-10,,Single product class,Unavailable,http://www.comlaundry.com/,http://www.speedqueen.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,9,False,Autosensing,United States,,,Each individual model number listed above,LES37AWF4350,AS/NZS 2442.1:1996/Amdt 4:2006,430,1.6382720002,1.5,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",118.0,"Australia,New Zealand",Approved,74281,7.3,,Vented,,2018-09-10,,Single product class,Unavailable,http://www.comlaundry.com/,http://www.speedqueen.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,6,False,Autosensing,China,,,Each individual model number listed above,DV-60Q5E,AS/NZS 2442.1:1996/Amdt 4:2006,260,2.23905413595,2.0,strong,180.0,"Australia,Fiji,New Zealand",Approved,76953,4.8,,Vented,,2018-11-17,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,6,False,Autosensing,China,,,Each individual model number listed above,DV-60Q5EU,AS/NZS 2442.1:1996/Amdt 4:2006,260,2.23905413595,2.0,strong,180.0,"Australia,Fiji,New Zealand",Approved,76953,4.8,,Vented,,2018-11-17,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,6,False,Autosensing,China,,,Each individual model number listed above,DV-60Q8EU,AS/NZS 2442.1:1996/Amdt 4:2006,260,2.23905413595,2.0,strong,180.0,"Australia,Fiji,New Zealand",Approved,76953,4.8,,Vented,,2018-11-17,,Single product class,Available,,
